Driver_ID,Age,Experience_Years,Average_Speed,Harsh_Braking_Count,Night_Driving_Hours,Distance_Per_Day,Mobile_Usage_Time,Traffic_Violations,Accident_History,Driving_Score,Risk_Level,Insurance_Premium
DRV00001,58,7,70.7,1,5.8,51.0,8.3,0,0,83,Low,6673.18
DRV00002,59,34,42.7,1,9.6,60.7,3.8,0,0,89,Low,5605.94
DRV00003,42,3,48.7,1,0.5,65.1,3.2,0,0,91,Low,5744.65
DRV00004,41,18,60.2,4,6.5,56.5,27.9,0,0,75,Low,6509.25
DRV00005,40,6,46.0,4,0.7,15.3,10.8,0,0,92,Low,6393.87
DRV00006,32,10,45.7,0,7.7,84.7,7.9,2,0,71,Medium,10968.98
DRV00007,49,25,75.2,0,1.1,25.2,10.9,0,1,80,Low,7898.5
DRV00008,26,8,31.2,7,1.2,49.6,15.5,0,1,65,Medium,11896.97
DRV00009,53,0,54.7,8,6.1,37.3,6.8,0,0,63,Medium,11036.61
DRV00010,50,11,50.4,3,8.4,47.5,4.5,0,3,57,High,17380.33
DRV00011,56,20,50.2,1,1.6,48.8,11.7,1,1,89,Low,7350.54
DRV00012,26,2,37.2,0,3.4,5,19.2,1,0,75,Low,7604.38
DRV00013,51,28,66.3,1,3.9,59.8,4.8,1,0,97,Low,5593.29
DRV00014,22,4,59.8,0,1.1,83.6,11.8,1,1,78,Low,9149.23
DRV00015,45,11,42.1,5,4.9,60.4,2.8,0,2,64,Medium,12707.04
DRV00016,46,4,46.6,1,0.6,57.1,25.6,2,2,53,Medium,15138.22
DRV00017,31,13,53.5,1,6.7,52.9,8.4,5,0,52,Medium,12953.08
DRV00018,36,6,78.6,3,3.9,41.8,4.3,1,0,77,Low,8425.79
DRV00019,33,1,45.8,3,3.4,30.9,4.6,0,0,82,Low,6868.21
DRV00020,38,2,80.3,3,0.9,50.0,10.1,0,0,78,Low,7885.58
DRV00021,46,26,44.9,16,7.3,42.5,15.0,2,0,40,High,16557.48
DRV00022,24,5,45.9,3,5.5,41.7,13.7,0,2,58,Medium,13361.37
DRV00023,45,26,57.8,5,4.4,50.0,18.4,0,0,90,Low,6765.75
DRV00024,27,8,73.0,3,2.7,53.2,7.3,3,0,58,Medium,12813.03
DRV00025,60,6,45.6,8,1.2,72.5,4.1,0,2,61,Medium,12641.93
DRV00026,60,15,55.0,0,9.7,90.0,4.9,0,0,87,Low,5432.28
DRV00027,19,0,47.6,0,6.5,59.6,10.2,2,0,74,Medium,13266.58
DRV00028,34,5,25,0,4.0,14.6,21.2,4,0,57,Medium,13331.37
DRV00029,20,2,40.2,6,5.0,59.4,18.1,0,3,41,High,19737.63
DRV00030,60,7,55.4,1,2.6,28.1,6.1,0,3,60,High,16752.49
DRV00031,57,36,51.7,0,1.9,76.7,12.0,0,0,100,Low,5788.23
DRV00032,68,47,61.3,2,4.4,56.8,23.9,1,0,79,Low,7014.32
DRV00033,33,15,37.1,2,5.5,21.6,7.9,1,2,68,Medium,11841.05
DRV00034,67,27,63.6,4,2.9,90.5,3.4,0,0,92,Low,6252.62
DRV00035,46,19,71.4,2,1.2,5,8.9,2,0,83,Medium,9915.0
DRV00036,33,8,34.5,1,2.2,62.0,2.5,0,0,98,Low,6394.09
DRV00037,39,17,52.4,7,2.5,49.8,9.5,0,0,90,Low,5555.68
DRV00038,52,34,68.5,2,1.8,5,7.7,1,1,85,Low,6571.91
DRV00039,57,34,73.8,3,0.4,52.1,3.4,0,0,99,Low,5775.76
DRV00040,66,24,51.1,2,8.2,106.1,2.2,0,0,90,Low,6612.07
DRV00041,57,9,59.3,0,1.7,75.1,12.8,1,1,80,Low,8407.13
DRV00042,55,1,76.9,9,2.4,34.4,4.5,1,0,56,Medium,12030.73
DRV00043,61,38,67.8,3,0.5,7.8,14.7,1,0,83,Low,6623.52
DRV00044,45,11,38.2,4,2.8,14.1,22.9,0,0,79,Low,6357.7
DRV00045,33,2,54.8,5,3.8,73.8,6.8,0,0,76,Low,7710.36
